Text,Language
"How are you today?",English
"I love reading books in the library.",English
"The weather is beautiful this morning.",English
"She works at a software company.",English
"We should meet tomorrow at noon.",English
"Learning new languages is fun.",English
"He plays football every weekend.",English
"The train arrives at five o'clock.",English
"Please send me the report by email.",English
"My favorite color is blue.",English
"Children are playing in the park.",English
"I need to buy groceries today.",English
"The movie was very interesting.",English
"Can you help me with this problem?",English
"Breakfast is the most important meal.",English
"She graduated from university last year.",English
"The internet connection is slow today.",English
"We are planning a trip to the mountains.",English
"He speaks three languages fluently.",English
"The restaurant serves delicious food.",English
"I forgot my password again.",English
"Music helps me relax after work.",English
"The conference starts at nine AM.",English
"Please close the door when you leave.",English
"Winter is my favorite season.",English
"The dog is sleeping on the couch.",English
"I will call you later tonight.",English
"Education opens many doors in life.",English
"The sun sets behind the hills.",English
"Technology changes the way we live.",English
"آپ کیسے ہیں؟",Urdu
"میں آج بہت خوش ہوں۔",Urdu
"کتاب پڑھنا میرا شوق ہے۔",Urdu
"آج موسم بہت اچھا ہے۔",Urdu
"وہ ہر روز اسکول جاتا ہے۔",Urdu
"براہ کرم مجھے پانی دیں۔",Urdu
"میں کل شہر جاؤں گا۔",Urdu
"یہ گھر بہت خوبصورت ہے۔",Urdu
"ہمیں مل کر کام کرنا چاہیے۔",Urdu
"میری بہن ڈاکٹر ہے۔",Urdu
"سچ بولنا بہت ضروری ہے۔",Urdu
"بچے میدان میں کھیل رہے ہیں۔",Urdu
"مجھے چائے پسند ہے۔",Urdu
"یہ فلم بہت دلچسپ تھی۔",Urdu
"آپ کا نام کیا ہے؟",Urdu
"میں پاکستان سے ہوں۔",Urdu
"علم حاصل کرنا فرض ہے۔",Urdu
"وہ رات کو دیر سے سوتا ہے۔",Urdu
"یہ مسئلہ حل کرنا آسان نہیں۔",Urdu
"دوستوں کے ساتھ وقت گزارنا اچھا لگتا ہے۔",Urdu
"میں کل صبح جلدی اٹھوں گا۔",Urdu
"یہ گاڑی بہت تیز دوڑتی ہے۔",Urdu
"ہمیں ایک دوسرے کی مدد کرنی چاہیے۔",Urdu
"اسکول میں پڑھائی اہم ہے۔",Urdu
"میرے والدین بہت اچھے ہیں۔",Urdu
"یہ کھانا بہت مزیدار ہے۔",Urdu
"میں نئی زبان سیکھ رہا ہوں۔",Urdu
"آج بارش ہو رہی ہے۔",Urdu
"یہ درخت بہت پرانے ہیں۔",Urdu
"¿Cómo estás?",Spanish
"Me gusta mucho la música.",Spanish
"Hoy hace un día muy bonito.",Spanish
"Ella trabaja en una oficina grande.",Spanish
"Vamos al mercado esta tarde.",Spanish
"El gato duerme en el sofá.",Spanish
"Necesito estudiar para el examen.",Spanish
"La comida mexicana es deliciosa.",Spanish
"¿Dónde está la biblioteca?",Spanish
"Mi hermano juega al fútbol.",Spanish
"Quiero aprender a cocinar.",Spanish
"El tren llega a las ocho.",Spanish
"Por favor, cierra la ventana.",Spanish
"Los niños juegan en el parque.",Spanish
"Este libro es muy interesante.",Spanish
"Voy a viajar a España pronto.",Spanish
"La escuela empieza en septiembre.",Spanish
"Me encanta caminar por la playa.",Spanish
"¿Puedes ayudarme con esto?",Spanish
"El café de la mañana es esencial.",Spanish
"Mi madre cocina muy bien.",Spanish
"Hoy es un día importante.",Spanish
"Necesito comprar frutas frescas.",Spanish
"El cielo está muy despejado.",Spanish
"Estoy aprendiendo español.",Spanish
"La película fue emocionante.",Spanish
"Vamos a cenar juntos esta noche.",Spanish
"El perro corre por el jardín.",Spanish
"Me gusta leer antes de dormir.",Spanish
"El invierno es frío en las montañas.",Spanish
"Comment ça va?",French
"J'aime beaucoup lire des livres.",French
"Il fait beau aujourd'hui.",French
"Elle travaille dans un hôpital.",French
"Nous allons au cinéma ce soir.",French
"Le chat dort sur le canapé.",French
"Je veux apprendre le français.",French
"La nourriture est délicieuse.",French
"Où se trouve la gare?",French
"Mon frère joue au tennis.",French
"Il pleut beaucoup en automne.",French
"Les enfants jouent dehors.",French
"Ce livre est très intéressant.",French
"Je vais voyager en France.",French
"L'école commence à huit heures.",French
"J'aime marcher le matin.",French
"Pouvez-vous m'aider s'il vous plaît?",French
"Le café du matin est important.",French
"Ma mère cuisine très bien.",French
"Aujourd'hui est un jour spécial.",French
"Je dois acheter du pain.",French
"Le ciel est bleu et clair.",French
"J'étudie la langue française.",French
"Le film était passionnant.",French
"Nous dînerons ensemble ce soir.",French
"Le chien court dans le jardin.",French
"J'aime lire avant de dormir.",French
"L'hiver est froid en montagne.",French
"La musique me détend.",French
"Je téléphone à mes parents.",French
"La ville est très animée.",French
"Wie geht es dir?",German
"Ich lese gerne Bücher.",German
"Heute ist das Wetter schön.",German
"Sie arbeitet in einem Krankenhaus.",German
"Wir gehen heute Abend ins Kino.",German
"Die Katze schläft auf dem Sofa.",German
"Ich möchte Deutsch lernen.",German
"Das Essen ist sehr lecker.",German
"Wo ist der Bahnhof?",German
"Mein Bruder spielt Fußball.",German
"Im Herbst regnet es oft.",German
"Die Kinder spielen draußen.",German
"Dieses Buch ist sehr interessant.",German
"Ich werde nach Deutschland reisen.",German
"Die Schule beginnt um acht Uhr.",German
"Ich gehe gerne morgens spazieren.",German
"Können Sie mir bitte helfen?",German
"Der Morgenkaffee ist wichtig.",German
"Meine Mutter kocht sehr gut.",German
"Heute ist ein besonderer Tag.",German
"Ich muss Brot kaufen.",German
"Der Himmel ist blau und klar.",German
"Ich lerne die deutsche Sprache.",German
"Der Film war spannend.",German
"Wir essen heute Abend zusammen.",German
"Der Hund rennt im Garten.",German
"Ich lese gerne vor dem Schlafen.",German
"Der Winter ist kalt in den Bergen.",German
"Musik entspannt mich.",German
"Ich rufe meine Eltern an.",German
"Die Stadt ist sehr lebhaft.",German
"Come stai oggi?",Italian
"Mi piace molto leggere libri.",Italian
"Oggi il tempo è bello.",Italian
"Lei lavora in un ospedale.",Italian
"Andiamo al cinema stasera.",Italian
"Il gatto dorme sul divano.",Italian
"Voglio imparare l'italiano.",Italian
"Il cibo è delizioso.",Italian
"Dov'è la stazione?",Italian
"Mio fratello gioca a calcio.",Italian
"In autunno piove spesso.",Italian
"I bambini giocano fuori.",Italian
"Questo libro è molto interessante.",Italian
"Viaggerò in Italia presto.",Italian
"La scuola inizia alle otto.",Italian
"Mi piace camminare la mattina.",Italian
"Puoi aiutarmi per favore?",Italian
"Il caffè del mattino è importante.",Italian
"Mia madre cucina molto bene.",Italian
"Oggi è un giorno speciale.",Italian
"Devo comprare del pane.",Italian
"Il cielo è blu e sereno.",Italian
"Studio la lingua italiana.",Italian
"Il film è stato emozionante.",Italian
"Ceniamo insieme stasera.",Italian
"Il cane corre nel giardino.",Italian
"Mi piace leggere prima di dormire.",Italian
"L'inverno è freddo in montagna.",Italian
"La musica mi rilassa.",Italian
"Telefono ai miei genitori.",Italian
"La città è molto vivace.",Italian
